"datetime";"consumo_kwh";"precio_kwh"
2016-09-01 00:00:00;0.188;0.097510307
2016-09-01 01:00:00;0.124;0.097756473
2016-09-01 02:00:00;0.111;0.097713312
2016-09-01 03:00:00;0.129;0.099274741
2016-09-01 04:00:00;0.108;0.10079292
2016-09-01 05:00:00;0.115;0.101065964
2016-09-01 06:00:00;0.12;0.105371182
2016-09-01 07:00:00;0.12;0.107920425
2016-09-01 08:00:00;0.378;0.10631967
2016-09-01 09:00:00;0.13;0.108098041
2016-09-01 10:00:00;0.134;0.107749114
2016-09-01 11:00:00;0.125;0.108158786
2016-09-01 12:00:00;0.123;0.107542396
2016-09-01 13:00:00;0.132;0.108120809
2016-09-01 14:00:00;0.116;0.106681595
2016-09-01 15:00:00;0.114;0.102546958
2016-09-01 16:00:00;0.135;0.103209504
2016-09-01 17:00:00;0.122;0.104320741
2016-09-01 18:00:00;0.111;0.105314122
2016-09-01 19:00:00;0.217;0.106336535
2016-09-01 20:00:00;0.627;0.109385422
2016-09-01 21:00:00;1.798;0.112506972
2016-09-01 22:00:00;0.983;0.105918273
2016-09-01 23:00:00;0.585;0.101797151
2016-09-02 00:00:00;0.414;0.1050713
2016-09-02 01:00:00;0.138;0.106639237
2016-09-02 02:00:00;0.127;0.107210725
2016-09-02 03:00:00;0.132;0.109019628
2016-09-02 04:00:00;0.132;0.109267923
2016-09-02 05:00:00;0.119;0.11075081
2016-09-02 06:00:00;0.109;0.113641403
2016-09-02 07:00:00;0.261;0.110298301
2016-09-02 08:00:00;0.422;0.107927887
2016-09-02 09:00:00;0.115;0.108993365
2016-09-02 10:00:00;0.125;0.108443858
2016-09-02 11:00:00;0.126;0.10976027
2016-09-02 12:00:00;0.123;0.110099224
2016-09-02 13:00:00;0.146;0.109778234
2016-09-02 14:00:00;0.146;0.10846289
2016-09-02 15:00:00;0.132;0.104890552
2016-09-02 16:00:00;0.13;0.104560002
2016-09-02 17:00:00;0.125;0.104439765
2016-09-02 18:00:00;0.189;0.104876352
2016-09-02 19:00:00;2.937;0.106111086
2016-09-02 20:00:00;2.89;0.109391182
2016-09-02 21:00:00;3.056;0.111827834
2016-09-02 22:00:00;1.624;0.106604766
2016-09-02 23:00:00;0.41;0.101446416
2016-09-03 00:00:00;0.345;0.099943453
2016-09-03 01:00:00;0.196;0.098470059
2016-09-03 02:00:00;0.124;0.100454332
2016-09-03 03:00:00;0.129;0.104813018
2016-09-03 04:00:00;0.153;0.105310502
2016-09-03 05:00:00;0.131;0.105006288
2016-09-03 06:00:00;0.128;0.10612289
2016-09-03 07:00:00;0.13;0.105386023
2016-09-03 08:00:00;0.129;0.106509734
2016-09-03 09:00:00;0.248;0.108865293
2016-09-03 10:00:00;0.766;0.106911975
2016-09-03 11:00:00;0.433;0.107082876
2016-09-03 12:00:00;0.645;0.105741779
2016-09-03 13:00:00;0.146;0.105017228
2016-09-03 14:00:00;1.324;0.104414425
2016-09-03 15:00:00;3.233;0.099173799
2016-09-03 16:00:00;2.349;0.097155705
2016-09-03 17:00:00;2.661;0.096446724
2016-09-03 18:00:00;2.579;0.09990296
2016-09-03 19:00:00;1.298;0.104272474
2016-09-03 20:00:00;0.138;0.107823398
2016-09-03 21:00:00;0.136;0.109077868
2016-09-03 22:00:00;0.13;0.104629794
2016-09-03 23:00:00;0.2;0.101229128
2016-09-04 00:00:00;0.195;0.097873858
2016-09-04 01:00:00;0.201;0.098896789
2016-09-04 02:00:00;0.16;0.102743451
2016-09-04 03:00:00;0.15;0.101118621
2016-09-04 04:00:00;0.13;0.100410285
2016-09-04 05:00:00;0.137;0.100568072
2016-09-04 06:00:00;0.152;0.10541672
2016-09-04 07:00:00;0.127;0.105686721
2016-09-04 08:00:00;0.125;0.103785387
2016-09-04 09:00:00;0.279;0.107802132
2016-09-04 10:00:00;0.571;0.102975241
2016-09-04 11:00:00;0.281;0.103720277
2016-09-04 12:00:00;0.324;0.103863871
2016-09-04 13:00:00;0.36;0.104870745
2016-09-04 14:00:00;3.608;0.104122765
2016-09-04 15:00:00;2.53;0.098361154
2016-09-04 16:00:00;2.403;0.097249781
2016-09-04 17:00:00;2.369;0.097356177
2016-09-04 18:00:00;2.673;0.097378988
2016-09-04 19:00:00;2.235;0.102135356
2016-09-04 20:00:00;0.667;0.108903477
2016-09-04 21:00:00;2.659;0.111963624
2016-09-04 22:00:00;2.359;0.105587517
2016-09-04 23:00:00;1.597;0.102041727
2016-09-05 00:00:00;0.183;0.103653463
2016-09-05 01:00:00;0.16;0.105824138
2016-09-05 02:00:00;0.149;0.109552828
2016-09-05 03:00:00;0.143;0.10994066
2016-09-05 04:00:00;0.153;0.109780164
2016-09-05 05:00:00;0.142;0.111215464
2016-09-05 06:00:00;0.127;0.112908376
2016-09-05 07:00:00;0.17;0.111411092
2016-09-05 08:00:00;0.288;0.107588109
2016-09-05 09:00:00;0.131;0.110883259
2016-09-05 10:00:00;0.128;0.109926251
2016-09-05 11:00:00;0.111;0.110993567
2016-09-05 12:00:00;0.137;0.1095963
2016-09-05 13:00:00;0.118;0.10917746
2016-09-05 14:00:00;0.15;0.10807902
2016-09-05 15:00:00;0.15;0.104467483
2016-09-05 16:00:00;0.127;0.104344776
2016-09-05 17:00:00;0.141;0.104937676
2016-09-05 18:00:00;0.13;0.10575635
2016-09-05 19:00:00;2.666;0.106738811
2016-09-05 20:00:00;2.027;0.112988551
2016-09-05 21:00:00;1.202;0.114453424
2016-09-05 22:00:00;0.497;0.106187018
2016-09-05 23:00:00;0.429;0.10354295
2016-09-06 00:00:00;0.369;0.107601434
2016-09-06 01:00:00;0.121;0.109763263
2016-09-06 02:00:00;0.13;0.109753365
2016-09-06 03:00:00;0.091;0.11043067
2016-09-06 04:00:00;0.133;0.112344633
2016-09-06 05:00:00;0.146;0.11241533
2016-09-06 06:00:00;0.143;0.113520162
2016-09-06 07:00:00;0.129;0.111570759
2016-09-06 08:00:00;0.302;0.110075027
2016-09-06 09:00:00;0.12;0.111810161
2016-09-06 10:00:00;0.129;0.11092777
2016-09-06 11:00:00;0.127;0.112334489
2016-09-06 12:00:00;0.116;0.112404823
2016-09-06 13:00:00;0.112;0.112556273
2016-09-06 14:00:00;0.117;0.111241362
2016-09-06 15:00:00;0.124;0.107689285
2016-09-06 16:00:00;0.102;0.107465582
2016-09-06 17:00:00;0.135;0.107668869
2016-09-06 18:00:00;0.11;0.109727306
2016-09-06 19:00:00;0.127;0.11231148
2016-09-06 20:00:00;2.654;0.115776436
2016-09-06 21:00:00;2.588;0.116725725
2016-09-06 22:00:00;0.641;0.108779853
2016-09-06 23:00:00;0.495;0.105768985
2016-12-09 00:00:00;0.14;0.119161153
2016-12-09 01:00:00;0.092;0.116581322
2016-12-09 02:00:00;0.114;0.113844055
2016-12-09 03:00:00;0.092;0.112733656
